district,attraction,style,budget,travel_route,weather
Kathmandu,Thamel,luxury,2914.61,,sunny
Kathmandu,Thamel,luxury,7121.73,,sunny
Kathmandu,Thamel,luxury,9491.68,,sunny
Kathmandu,Thamel,luxury,2432.62,Kathmandu to Nuwakot to Rasuwa to Sindhupalchok,any
Kathmandu,Thamel,luxury,3133.9,,sunny
Kathmandu,Thamel,luxury,6198.22,,cold
Kathmandu,Thamel,luxury,9159.65,Kathmandu to Bhaktapur to Lalitpur,sunny
Kathmandu,Thamel,luxury,5853.0,Kathmandu to Nuwakot to Rasuwa to Sindhupalchok,rainy
Kathmandu,Thamel,luxury,2622.47,,cold
Kathmandu,Thamel,luxury,2113.49,Kathmandu to Dhading to Chitwan,any
Kathmandu,Thamel,luxury,6165.53,,sunny
Kathmandu,Thamel,luxury,7111.33,,warm
Kathmandu,Thamel,luxury,7571.57,,any
Kathmandu,Thamel,luxury,3678.1,Kathmandu to Dhading,sunny
Kathmandu,Thamel,luxury,4415.56,Kathmandu to Nuwakot,sunny
Kathmandu,Thamel,luxury,5283.09,,sunny
Kathmandu,Thamel,luxury,9410.79,,sunny
Kathmandu,Thamel,luxury,5052.51,Kathmandu to Dhading to Chitwan,any
Kathmandu,Thamel,luxury,2717.1,Kathmandu to Nuwakot,sunny
Kathmandu,Thamel,luxury,6026.89,Kathmandu to Bhaktapur to Lalitpur,any
Kathmandu,Thamel,luxury,2916.01,Kathmandu to Nuwakot to Rasuwa,any
Kathmandu,Thamel,luxury,9516.93,,any
Kathmandu,Thamel,luxury,4459.17,Kathmandu to Bhaktapur to Lalitpur to Makwanpur,any
Kathmandu,Thamel,luxury,2209.97,Kathmandu to Sindhupalchok to Langtang to Nuwakot,any
Kathmandu,Thamel,luxury,3934.65,,any
Kathmandu,Thamel,luxury,8410.65,,warm
Kathmandu,Thamel,luxury,5224.95,,sunny
Kathmandu,Thamel,luxury,7680.2,,sunny
Kathmandu,Thamel,luxury,8698.7,,sunny
Kathmandu,Thamel,luxury,2205.12,Kathmandu to Lalitpur,sunny
Kathmandu,Thamel,luxury,2202.32,Kathmandu to Dhading to Gorkha to Tanahun,any
Kathmandu,Thamel,luxury,3550.63,Kathmandu to Dhading to Chitwan,any
Kathmandu,Thamel,luxury,9479.81,,warm
Kathmandu,Thamel,luxury,5673.02,,warm
Kathmandu,Thamel,luxury,9156.84,,sunny
Kathmandu,Thamel,luxury,5126.4,,sunny
Kathmandu,Thamel,luxury,9673.74,Kathmandu to Dhading to Nuwakot,sunny
Kathmandu,Thamel,luxury,4390.04,Kathmandu to Sindhupalchok to Nuwakot to Dhading,any
Kathmandu,Thamel,luxury,5871.29,,warm
Kathmandu,Thamel,luxury,9412.67,,sunny
Kathmandu,Thamel,luxury,3730.45,Kathmandu to Dhading,sunny
Kathmandu,Thamel,luxury,2667.54,,cold
Kathmandu,Thamel,luxury,3593.9,Kathmandu to Dhading to Nuwakot to Sindhupalchok,sunny
Kathmandu,Thamel,luxury,9378.78,,sunny
Kathmandu,Thamel,luxury,2823.16,,any
Kathmandu,Thamel,luxury,9630.1,Kathmandu to Sindhupalchok to Bhaktapur,sunny
Kathmandu,Thamel,luxury,6983.29,,warm
Kathmandu,Thamel,luxury,9183.16,,any
Kathmandu,Thamel,luxury,6694.95,Kathmandu to Sindhupalchok to Langtang to Nuwakot,sunny
Kathmandu,Thamel,luxury,3439.23,Kathmandu to Bhaktapur to Lalitpur,sunny
Kathmandu,Thamel,luxury,4975.71,,any
Kathmandu,Thamel,luxury,7734.42,,sunny
Kathmandu,Thamel,luxury,6493.12,,sunny
Kathmandu,Thamel,luxury,6487.67,Kathmandu to Lalitpur to Makwanpur to Nawalparasi,any
Kathmandu,Thamel,luxury,3585.2,,sunny
Kathmandu,Thamel,luxury,5369.9,,sunny
Kathmandu,Thamel,luxury,3891.38,,sunny
Kathmandu,Thamel,luxury,4274.93,,any
Kathmandu,Thamel,luxury,7158.21,,sunny
Kathmandu,Thamel,luxury,4197.39,,any
Kathmandu,Thamel,luxury,6898.57,Kathmandu to Nuwakot to Sindhupalchok,sunny
Kathmandu,Thamel,luxury,9501.63,,sunny
Kathmandu,Thamel,luxury,2841.09,Kathmandu to Bhaktapur to Lalitpur,sunny
Kathmandu,Thamel,luxury,7792.86,Kathmandu to Lalitpur to Bhaktapur to Sindhupalchok,any
Kathmandu,Thamel,luxury,2384.03,,sunny
Kathmandu,Thamel,luxury,7589.32,,any
Kathmandu,Thamel,luxury,4554.66,,sunny
Kathmandu,Thamel,luxury,7345.88,,rainy
Kathmandu,Thamel,luxury,9810.8,Kathmandu to Lalitpur,sunny
Kathmandu,Thamel,luxury,7691.05,Kathmandu to Bhaktapur,sunny
Kathmandu,Thamel,luxury,9774.12,,sunny
Kathmandu,Thamel,luxury,8548.09,,sunny
Kathmandu,Thamel,luxury,8083.9,,sunny
Kathmandu,Thamel,luxury,9313.0,,sunny
Kathmandu,Thamel,luxury,8240.17,,sunny
Kathmandu,Thamel,luxury,9611.96,,warm
Kathmandu,Thamel,luxury,7960.21,Kathmandu to Dhading,sunny
Kathmandu,Thamel,luxury,7295.08,,sunny
Kathmandu,Thamel,luxury,5451.79,,sunny
Kathmandu,Thamel,luxury,5530.72,,sunny
Kathmandu,Thamel,luxury,3551.45,,sunny
Kathmandu,Thamel,luxury,6148.95,,sunny
Kathmandu,Thamel,luxury,3756.64,,sunny
Kathmandu,Thamel,luxury,2526.78,,sunny
Kathmandu,Thamel,luxury,5143.08,Kathmandu to Dhading to Nuwakot to Rasuwa,sunny
Kathmandu,Thamel,luxury,4781.06,,sunny
Kathmandu,Thamel,luxury,3480.63,,any
Kathmandu,Thamel,luxury,3361.86,,cold
Kathmandu,Thamel,luxury,3134.67,,sunny
Kathmandu,Thamel,luxury,3420.12,,sunny
Kathmandu,Thamel,luxury,9756.33,,warm
Kathmandu,Thamel,luxury,2875.09,,any
Kathmandu,Thamel,luxury,6202.15,,sunny
Kathmandu,Thamel,luxury,4436.82,,any
Kathmandu,Thamel,luxury,7307.27,,sunny
Kathmandu,Thamel,luxury,7681.26,Kathmandu to Nuwakot to Dhading to Gorkha,any
Kathmandu,Thamel,luxury,9829.1,Kathmandu to Dhading,any
Kathmandu,Thamel,luxury,3954.94,Kathmandu to Bhaktapur to Lalitpur,any
Kathmandu,Thamel,luxury,7109.87,Kathmandu to Sindhupalchok to Dolakha to Kavrepalanchok,any
Kathmandu,Thamel,luxury,9282.62,,sunny
Kathmandu,Thamel,luxury,4474.59,,sunny
Kathmandu,Thamel,luxury,5467.68,Kathmandu to Dhading to Chitwan,sunny
Kathmandu,Thamel,luxury,9417.86,Kathmandu to Dhading to Gorkha to Syangja,sunny
Kathmandu,Thamel,luxury,2516.93,,sunny
Kathmandu,Thamel,luxury,8603.76,,sunny
Kathmandu,Thamel,luxury,4818.04,,any
Kathmandu,Thamel,luxury,9029.78,,any
Kathmandu,Thamel,luxury,7705.58,Kathmandu to Sindhupalchok to Nuwakot,sunny
Kathmandu,Thamel,luxury,2257.09,,any
Kathmandu,Thamel,luxury,5192.91,Kathmandu to Sindhupalchok to Langtang,any
Kathmandu,Thamel,luxury,7431.39,,sunny
Kathmandu,Thamel,luxury,3085.53,,warm
Kathmandu,Thamel,luxury,6533.32,,warm
Kathmandu,Thamel,luxury,2768.34,Kathmandu to Dhading to Nuwakot to Sindhupalchok,rainy
Kathmandu,Thamel,luxury,5364.05,,sunny
Kathmandu,Thamel,luxury,2707.43,Kathmandu to Sindhupalchok,sunny
Kathmandu,Thamel,luxury,6967.12,Kathmandu to Nuwakot,any
Kathmandu,Thamel,luxury,7360.63,Kathmandu to Nuwakot to Dhading to Chitwan,sunny
Kathmandu,Thamel,luxury,8639.15,,warm
Kathmandu,Thamel,luxury,6523.55,Kathmandu to Sindhupalchok,cold
Kathmandu,Thamel,luxury,6130.11,Kathmandu to Bhaktapur,warm
Kathmandu,Thamel,luxury,7025.92,Kathmandu to Sindhupalchok to Bhaktapur,any
Kathmandu,Thamel,luxury,2537.14,Kathmandu to Lalitpur to Bhaktapur to Sindhupalchok,sunny
Kathmandu,Thamel,luxury,2197.25,,rainy
Kathmandu,Thamel,luxury,5236.46,Kathmandu to Dhading to Nuwakot to Rasuwa,any
Kathmandu,Thamel,luxury,7089.58,Kathmandu to Bhaktapur to Lalitpur to Makwanpur,sunny
Kathmandu,Thamel,luxury,4320.29,Kathmandu to Dhading to Rasuwa,cold
Kathmandu,Thamel,luxury,7581.22,,sunny
Kathmandu,Thamel,luxury,2223.77,,sunny
Kathmandu,Thamel,luxury,2272.67,Kathmandu to Lalitpur to Makwanpur,cold
Kathmandu,Thamel,luxury,9059.39,,sunny
Kathmandu,Thamel,luxury,6005.11,,any
Kathmandu,Thamel,luxury,3395.98,Kathmandu to Dhading to Nuwakot to Rasuwa,sunny
Kathmandu,Thamel,luxury,9387.82,Kathmandu to Nuwakot to Rasuwa,sunny
Kathmandu,Thamel,luxury,3035.38,Kathmandu to Sindhupalchok to Kavrepalanchok,sunny
Kathmandu,Thamel,luxury,2359.43,,any
Kathmandu,Thamel,luxury,5995.47,,cold
Kathmandu,Thamel,luxury,2843.45,Kathmandu to Nuwakot to Dhading,any
Kathmandu,Thamel,luxury,2915.79,,any
Kathmandu,Thamel,luxury,9388.41,Kathmandu to Bhaktapur to Lalitpur,sunny
Kathmandu,Thamel,luxury,5928.82,,cold
Kathmandu,Thamel,luxury,8510.7,,any
Kathmandu,Thamel,luxury,3628.32,Kathmandu to Nuwakot to Sindhupalchok,any
Kathmandu,Thamel,luxury,3482.43,Kathmandu to Sindhupalchok to Dolakha to Ramechhap,any
Kathmandu,Thamel,luxury,6006.8,Kathmandu to Lalitpur,sunny
Kathmandu,Thamel,luxury,7003.77,,any
Kathmandu,Thamel,luxury,2807.3,,sunny
Kathmandu,Thamel,luxury,3792.17,Kathmandu to Nuwakot to Sindhupalchok,any
Kathmandu,Thamel,luxury,8979.54,,sunny
Kathmandu,Thamel,luxury,5193.76,Kathmandu to Sindhupalchok,sunny
Kathmandu,Thamel,luxury,7225.86,,sunny
Kathmandu,Thamel,luxury,9104.22,,sunny
Kathmandu,Thamel,luxury,3884.94,Kathmandu to Lalitpur to Makwanpur to Chitwan,sunny
Kathmandu,Thamel,luxury,9100.15,,sunny
Kathmandu,Thamel,luxury,2284.8,Kathmandu to Nuwakot to Rasuwa,rainy
Kathmandu,Thamel,luxury,9449.97,Kathmandu to Sindhupalchok,sunny
Kathmandu,Thamel,luxury,6419.97,Kathmandu to Bhaktapur to Sindhupalchok to Dolakha,sunny
Kathmandu,Thamel,luxury,5503.62,Kathmandu to Dhading to Gorkha,any
Kathmandu,Thamel,luxury,9344.55,,sunny
Kathmandu,Thamel,luxury,5304.52,Kathmandu to Sindhupalchok to Nuwakot to Dhading,any
Kathmandu,Thamel,luxury,2612.89,,sunny
Kathmandu,Thamel,luxury,4797.34,,cold
Kathmandu,Thamel,luxury,6848.99,,sunny
Kathmandu,Thamel,luxury,4001.59,,rainy
Kathmandu,Thamel,luxury,5548.33,,sunny
Kathmandu,Thamel,luxury,6214.75,Kathmandu to Lalitpur to Bhaktapur to Sindhupalchok,sunny
Kathmandu,Thamel,luxury,4238.27,,sunny
Kathmandu,Thamel,luxury,7935.27,,sunny
Kathmandu,Thamel,luxury,9823.28,,cold
Kathmandu,Thamel,luxury,2170.32,,any
Kathmandu,Thamel,luxury,8617.43,,sunny
Kathmandu,Thamel,luxury,2150.79,,sunny
Kathmandu,Thamel,luxury,5034.62,,cold
Kathmandu,Thamel,luxury,6332.39,,sunny
Kathmandu,Thamel,luxury,8481.95,Kathmandu to Sindhupalchok to Dolakha,warm
Kathmandu,Thamel,luxury,8459.17,Kathmandu to Dhading to Nuwakot to Sindhupalchok,warm
Kathmandu,Thamel,luxury,9682.44,Kathmandu to Bhaktapur,sunny
Kathmandu,Thamel,luxury,8396.71,,any
Kathmandu,Thamel,luxury,4700.26,,sunny
Kathmandu,Thamel,luxury,7273.84,Kathmandu to Lalitpur to Bhaktapur to Sindhupalchok,any
Kathmandu,Thamel,luxury,8780.74,,sunny
Kathmandu,Thamel,luxury,2296.03,,sunny
Kathmandu,Thamel,luxury,2468.68,,any
Kathmandu,Thamel,luxury,5523.52,Kathmandu to Nuwakot to Dhading,sunny
Kathmandu,Thamel,luxury,3175.21,,warm
Kathmandu,Thamel,luxury,3474.04,,rainy
Kathmandu,Thamel,luxury,6427.26,Kathmandu to Dhading to Chitwan,sunny
Kathmandu,Thamel,luxury,6804.63,,sunny
Kathmandu,Thamel,luxury,6088.28,,sunny
Kathmandu,Thamel,luxury,2571.15,,sunny
Kathmandu,Thamel,luxury,6855.73,Kathmandu to Dhading to Nuwakot to Sindhupalchok,sunny
Kathmandu,Thamel,luxury,4946.42,,sunny
Kathmandu,Thamel,luxury,6872.31,,any
Kathmandu,Thamel,luxury,5030.72,Kathmandu to Nuwakot,warm
Kathmandu,Thamel,luxury,9669.0,,any
Kathmandu,Thamel,luxury,8780.76,,rainy
Kathmandu,Thamel,luxury,4535.51,,sunny
Kathmandu,Thamel,luxury,3944.59,,any
Kathmandu,Thamel,luxury,7985.51,,sunny
Kathmandu,Thamel,luxury,2637.52,,warm
Kathmandu,Thamel,luxury,6841.75,,sunny
Kathmandu,Thamel,luxury,8211.59,,sunny
Kathmandu,Thamel,luxury,8366.85,,sunny
Kathmandu,Thamel,luxury,6040.21,,sunny
Kathmandu,Thamel,luxury,9011.25,,sunny
Kathmandu,Thamel,luxury,7942.83,,sunny
Kathmandu,Thamel,luxury,7520.37,,any
Kathmandu,Thamel,luxury,4834.94,,sunny
Kathmandu,Thamel,luxury,4694.47,,any
Kathmandu,Thamel,luxury,2590.02,Kathmandu to Nuwakot to Sindhupalchok,any
Kathmandu,Thamel,luxury,8061.28,Kathmandu to Sindhupalchok to Kavrepalanchok to Bhaktapur,any
Kathmandu,Thamel,luxury,6748.43,,sunny
Kathmandu,Thamel,luxury,5508.7,,rainy
Kathmandu,Thamel,luxury,4378.79,,sunny
Kathmandu,Thamel,luxury,4582.4,,sunny
Kathmandu,Thamel,luxury,8511.9,Kathmandu to Nuwakot,any
Kathmandu,Thamel,luxury,2795.73,,sunny
Kathmandu,Thamel,luxury,5511.33,,any
Kathmandu,Thamel,luxury,9396.13,,cold
Kathmandu,Thamel,luxury,2218.8,Kathmandu to Sindhupalchok to Rasuwa to Langtang,any
Kathmandu,Thamel,luxury,4956.32,Kathmandu to Nuwakot to Sindhupalchok,sunny
Kathmandu,Thamel,luxury,4359.53,Kathmandu to Nuwakot,sunny
Kathmandu,Thamel,luxury,4104.45,Kathmandu to Lalitpur to Makwanpur to Chitwan,any
Kathmandu,Thamel,luxury,4616.93,,rainy
Kathmandu,Thamel,luxury,9138.18,,sunny
Kathmandu,Thamel,luxury,8731.45,Kathmandu to Lalitpur,cold
Kathmandu,Thamel,luxury,6690.75,,any
Kathmandu,Thamel,luxury,5760.92,,sunny
Kathmandu,Thamel,luxury,3054.34,,warm
Kathmandu,Thamel,luxury,5474.55,,sunny
Kathmandu,Thamel,luxury,5345.27,,sunny
Kathmandu,Thamel,luxury,5873.86,,cold
Kathmandu,Thamel,luxury,9000.31,,cold
Kathmandu,Thamel,luxury,6347.31,,sunny
Kathmandu,Thamel,luxury,9754.9,Kathmandu to Bhaktapur,sunny
Kathmandu,Thamel,luxury,7284.9,,sunny
Kathmandu,Thamel,luxury,8720.97,,any
Kathmandu,Thamel,luxury,4327.44,Kathmandu to Lalitpur to Makwanpur,rainy
Kathmandu,Thamel,luxury,5289.83,,any
Kathmandu,Thamel,luxury,4146.54,,any
Kathmandu,Thamel,luxury,5581.09,Kathmandu to Bhaktapur to Lalitpur to Makwanpur,sunny
Kathmandu,Thamel,luxury,9602.23,,sunny
Kathmandu,Thamel,luxury,8134.74,Kathmandu to Bhaktapur to Sindhupalchok to Kavrepalanchok,warm
Kathmandu,Thamel,luxury,8705.19,Kathmandu to Bhaktapur to Sindhupalchok,sunny
Kathmandu,Thamel,luxury,3724.92,Kathmandu to Lalitpur,any
Kathmandu,Thamel,luxury,8330.75,,sunny
Kathmandu,Thamel,luxury,7052.44,,cold
Kathmandu,Thamel,luxury,7242.21,Kathmandu to Lalitpur to Bhaktapur,sunny
Kathmandu,Thamel,luxury,2161.23,,any
Kathmandu,Thamel,luxury,7886.99,,any
Kathmandu,Thamel,luxury,5401.22,,any
Kathmandu,Thamel,luxury,2797.43,,any
Kathmandu,Thamel,luxury,5436.28,,sunny
Kathmandu,Thamel,luxury,4275.38,,any
Kathmandu,Thamel,luxury,9945.23,Kathmandu to Lalitpur to Makwanpur to Rautahat,any
Kathmandu,Thamel,luxury,8169.65,,sunny
Kathmandu,Thamel,luxury,4659.48,Kathmandu to Sindhupalchok,any
Kathmandu,Thamel,luxury,8918.62,,sunny
Kathmandu,Thamel,luxury,6931.91,Kathmandu to Bhaktapur to Lalitpur to Makwanpur,sunny
Kathmandu,Thamel,luxury,4491.64,,sunny
Kathmandu,Thamel,luxury,8971.42,,sunny
Kathmandu,Thamel,luxury,4504.13,,cold
Kathmandu,Thamel,luxury,9369.84,,sunny
Kathmandu,Thamel,luxury,3296.74,,any
Kathmandu,Thamel,luxury,2312.5,,sunny
Kathmandu,Thamel,luxury,7991.95,,rainy
Kathmandu,Thamel,luxury,5483.84,Kathmandu to Dhading to Rasuwa to Sindhupalchok,sunny
Kathmandu,Thamel,luxury,3132.14,,rainy
Kathmandu,Thamel,luxury,5776.88,,sunny
Kathmandu,Thamel,luxury,6195.03,,any
Kathmandu,Thamel,luxury,3202.79,Kathmandu to Bhaktapur to Lalitpur,sunny
Kathmandu,Thamel,luxury,4648.28,,sunny
Kathmandu,Thamel,luxury,4803.62,,warm
Kathmandu,Thamel,luxury,4196.64,Kathmandu to Dhading to Rasuwa to Sindhupalchok,any
Kathmandu,Thamel,luxury,6488.9,,warm
Kathmandu,Thamel,luxury,7845.26,,sunny
Kathmandu,Thamel,luxury,8375.08,Kathmandu to Sindhupalchok to Kavrepalanchok,warm
Kathmandu,Thamel,luxury,3674.45,,sunny
Kathmandu,Thamel,luxury,9436.38,,warm
Kathmandu,Thamel,luxury,4586.7,,any
Kathmandu,Thamel,luxury,7318.74,,sunny
Kathmandu,Thamel,luxury,6481.16,,sunny
Kathmandu,Thamel,luxury,4494.09,,rainy
Kathmandu,Thamel,luxury,9563.92,Kathmandu to Sindhupalchok to Dolakha,any
Kathmandu,Thamel,luxury,7482.94,,warm
Kathmandu,Thamel,luxury,2202.36,,sunny
Kathmandu,Thamel,luxury,3710.24,Kathmandu to Nuwakot,warm
Kathmandu,Thamel,luxury,9465.54,,any
Kathmandu,Thamel,luxury,2044.92,,sunny
Kathmandu,Thamel,luxury,6022.35,,sunny
Kathmandu,Thamel,luxury,5186.35,Kathmandu to Lalitpur to Bhaktapur,any
Kathmandu,Thamel,luxury,5922.4,Kathmandu to Lalitpur to Bhaktapur to Sindhupalchok,sunny
Kathmandu,Thamel,luxury,7645.12,Kathmandu to Nuwakot,sunny
Kathmandu,Thamel,luxury,5547.02,,any
Kathmandu,Thamel,luxury,7240.84,,any
Kathmandu,Thamel,luxury,9245.8,Kathmandu to Lalitpur to Makwanpur to Nawalparasi,warm
Kathmandu,Thamel,luxury,3543.52,,any
Kathmandu,Thamel,luxury,3380.68,,sunny
Kathmandu,Thamel,luxury,7082.4,Kathmandu to Dhading to Rasuwa,any
Kathmandu,Thamel,luxury,5730.02,,any
Kathmandu,Thamel,luxury,2930.09,Kathmandu to Dhading,sunny
Kathmandu,Thamel,luxury,8309.89,,sunny
Kathmandu,Thamel,luxury,4462.26,Kathmandu to Bhaktapur,cold
Kathmandu,Thamel,luxury,5034.48,,sunny
Kathmandu,Thamel,luxury,3807.68,Kathmandu to Dhading,sunny
Kathmandu,Thamel,luxury,4116.36,,sunny
Kathmandu,Thamel,luxury,8636.0,,cold
Kathmandu,Thamel,luxury,6303.59,Kathmandu to Dhading to Gorkha,sunny
Kathmandu,Thamel,luxury,2726.06,,any
Kathmandu,Thamel,luxury,2251.58,Kathmandu to Nuwakot,sunny
Kathmandu,Thamel,luxury,6694.57,,sunny
Kathmandu,Thamel,luxury,7610.31,Kathmandu to Bhaktapur,warm
Kathmandu,Thamel,luxury,4677.7,,warm
Kathmandu,Thamel,luxury,3301.97,Kathmandu to Sindhupalchok to Dolakha,rainy
Kathmandu,Thamel,luxury,5788.58,Kathmandu to Dhading to Nuwakot to Sindhupalchok,sunny
Kathmandu,Thamel,luxury,9766.13,Kathmandu to Lalitpur to Makwanpur to Nawalparasi,any
Kathmandu,Thamel,luxury,6744.61,,sunny
Kathmandu,Thamel,luxury,9611.95,,warm
Kathmandu,Thamel,luxury,9762.6,Kathmandu to Nuwakot to Rasuwa,sunny
Kathmandu,Thamel,luxury,2006.75,Kathmandu to Dhading to Chitwan,sunny
Kathmandu,Thamel,luxury,8862.1,Kathmandu to Sindhupalchok,sunny
Kathmandu,Thamel,luxury,5818.75,,sunny
Kathmandu,Thamel,luxury,9302.66,Kathmandu to Bhaktapur to Lalitpur to Makwanpur,cold
Kathmandu,Thamel,luxury,8104.35,Kathmandu to Nuwakot to Sindhupalchok,sunny
Kathmandu,Thamel,luxury,4774.94,Kathmandu to Bhaktapur,cold
Kathmandu,Thamel,luxury,4953.06,Kathmandu to Sindhupalchok to Dolakha to Ramechhap,sunny
Kathmandu,Thamel,luxury,5999.6,,sunny
Kathmandu,Thamel,luxury,5072.53,,sunny
Kathmandu,Thamel,luxury,7402.18,,sunny
Kathmandu,Thamel,luxury,3308.34,Kathmandu to Lalitpur to Makwanpur,cold
Kathmandu,Thamel,luxury,8428.4,,sunny
Kathmandu,Thamel,luxury,2092.71,Kathmandu to Lalitpur to Makwanpur,cold
Kaski,Phewa Lake,budget,819.45,Kaski to Manang,rainy
Kaski,Phewa Lake,budget,890.92,,any
Kathmandu,Thamel,budget,672.2,Kathmandu to Lalitpur,rainy
Kaski,Phewa Lake,budget,438.33,Kaski to Myagdi to Parbat,any
Kaski,Phewa Lake,budget,327.89,,any
Kathmandu,Thamel,budget,476.63,,rainy
Kathmandu,Thamel,budget,425.11,,rainy
Kaski,Phewa Lake,budget,745.19,,rainy
Kathmandu,Thamel,budget,474.04,,sunny
Chitwan,Sauraha,budget,743.04,,rainy
Kaski,Phewa Lake,budget,943.14,Kaski to Myagdi to Parbat to Baglung,any
Kaski,Phewa Lake,budget,326.8,Kaski to Myagdi,warm
Chitwan,Sauraha,budget,536.44,,warm
Kaski,Phewa Lake,budget,428.75,Kaski to Lamjung to Manang,cold
Kathmandu,Thamel,budget,699.63,,any
Chitwan,Sauraha,budget,785.98,,sunny
Kathmandu,Thamel,budget,492.35,,warm
Chitwan,Sauraha,budget,723.24,Chitwan to Makwanpur to Lalitpur,any
Kathmandu,Thamel,budget,847.44,,warm
Kaski,Phewa Lake,budget,368.0,Kaski to Lamjung,rainy
Chitwan,Sauraha,budget,809.71,,warm
Kaski,Phewa Lake,budget,679.02,,rainy
Kaski,Phewa Lake,budget,523.75,,any
Chitwan,Sauraha,budget,447.45,Chitwan to Dhading to Kathmandu,warm
Chitwan,Sauraha,budget,741.97,,rainy
Kathmandu,Thamel,budget,512.82,,cold
Kaski,Phewa Lake,budget,409.13,,rainy
Chitwan,Sauraha,budget,590.78,Chitwan to Dhading to Gorkha,cold
Kaski,Phewa Lake,budget,564.9,,any
Kaski,Phewa Lake,budget,447.91,,rainy
Kathmandu,Thamel,budget,685.05,,rainy
Chitwan,Sauraha,budget,523.58,,rainy
Chitwan,Sauraha,budget,651.61,,rainy
Kaski,Phewa Lake,budget,829.78,Kaski to Tanahun,rainy
Kaski,Phewa Lake,budget,302.34,Kaski to Tanahun to Lamjung to Gorkha,any
Chitwan,Sauraha,budget,981.97,,rainy
Chitwan,Sauraha,budget,397.0,Chitwan to Dhading to Kathmandu to Nuwakot,warm
Chitwan,Sauraha,budget,416.52,Chitwan to Makwanpur to Lalitpur,warm
Chitwan,Sauraha,budget,895.22,,rainy
Kathmandu,Thamel,budget,630.52,,cold
Kathmandu,Thamel,budget,345.37,,sunny
Kaski,Phewa Lake,budget,778.57,,rainy
Kathmandu,Thamel,budget,650.15,,rainy
Kaski,Phewa Lake,budget,471.4,,cold
Chitwan,Sauraha,budget,777.42,,rainy
Kaski,Phewa Lake,budget,349.26,,rainy
Chitwan,Sauraha,budget,801.06,Chitwan to Makwanpur to Lalitpur to Bhaktapur,warm
Chitwan,Sauraha,budget,505.07,Chitwan to Gorkha,rainy
Kaski,Phewa Lake,budget,600.01,,rainy
Kaski,Phewa Lake,budget,805.4,Kaski to Tanahun,rainy
Kaski,Phewa Lake,budget,485.16,Kaski to Myagdi to Baglung,rainy
Kaski,Phewa Lake,budget,506.7,Kaski to Manang,rainy
Chitwan,Sauraha,budget,716.1,,cold
Kaski,Phewa Lake,budget,454.72,,rainy
Kaski,Phewa Lake,budget,961.35,,rainy
Kaski,Phewa Lake,budget,771.3,Kaski to Tanahun,rainy
Chitwan,Sauraha,budget,901.4,,rainy
Kathmandu,Thamel,budget,403.85,,sunny
Chitwan,Sauraha,budget,633.88,Chitwan to Nawalparasi to Rupandehi,any
Chitwan,Sauraha,budget,666.34,Chitwan to Nawalparasi to Rupandehi,rainy
Kaski,Phewa Lake,budget,638.8,Kaski to Manang,rainy
Kathmandu,Thamel,budget,444.5,,rainy
Chitwan,Sauraha,budget,755.0,,rainy
Chitwan,Sauraha,budget,887.98,Chitwan to Nawalparasi to Rupandehi,any
Kathmandu,Thamel,budget,764.97,,rainy
Kaski,Phewa Lake,budget,490.03,Kaski to Lamjung to Tanahun to Palpa,any
Chitwan,Sauraha,budget,471.28,,cold
Chitwan,Sauraha,budget,459.84,,cold
Chitwan,Sauraha,budget,686.38,,sunny
Kathmandu,Thamel,budget,665.79,,sunny
Chitwan,Sauraha,budget,624.99,Chitwan to Makwanpur to Parsa,rainy
Kaski,Phewa Lake,budget,609.33,,rainy
Chitwan,Sauraha,budget,718.81,,rainy
Kaski,Phewa Lake,budget,803.99,,rainy
Chitwan,Sauraha,budget,994.57,,rainy
Kaski,Phewa Lake,budget,741.79,,rainy
Kaski,Phewa Lake,budget,484.94,,rainy
Chitwan,Sauraha,budget,738.15,Chitwan to Dhading,rainy
Kathmandu,Thamel,budget,925.36,,rainy
Kathmandu,Thamel,budget,832.31,,warm
Kaski,Phewa Lake,budget,746.52,,rainy
Kathmandu,Thamel,budget,449.25,,rainy
Chitwan,Sauraha,budget,372.04,,rainy
Chitwan,Sauraha,budget,526.64,,rainy
Kathmandu,Thamel,budget,727.09,Kathmandu to Sindhupalchok to Dolakha,rainy
Chitwan,Sauraha,budget,460.11,Chitwan to Gorkha to Tanahun,rainy
Kaski,Phewa Lake,budget,808.7,,any
Kaski,Phewa Lake,budget,694.3,,cold
Kaski,Phewa Lake,budget,978.08,Kaski to Manang,rainy
Kathmandu,Thamel,budget,446.03,,cold
Kaski,Phewa Lake,budget,525.29,,cold
Chitwan,Sauraha,budget,858.23,,warm
Kaski,Phewa Lake,budget,352.1,Kaski to Myagdi to Parbat to Syangja,rainy
Chitwan,Sauraha,budget,474.89,,any
Kathmandu,Thamel,budget,339.28,,rainy
Kaski,Phewa Lake,budget,377.72,Kaski to Myagdi to Baglung,rainy
Kathmandu,Thamel,budget,701.86,,rainy
Kaski,Phewa Lake,budget,689.67,Kaski to Lamjung,any
Chitwan,Sauraha,budget,970.04,Chitwan to Nawalparasi to Palpa to Gulmi,rainy
Kaski,Phewa Lake,budget,622.56,Kaski to Manang,rainy
Kaski,Phewa Lake,budget,398.19,,warm
Kaski,Phewa Lake,budget,882.17,Kaski to Lamjung to Manang,sunny
Kathmandu,Thamel,budget,853.1,,rainy
